Name,Ticker,Symbol,Symbol2,Sector,TIDM,
EAGLE EYE SOLUTIONS GROUP PLC,EYE,LON:EYE,EYE.L,Software & Computer Services,EYE,
EARTHPORT PLC,EPO,LON:EPO,EPO.L,Software & Computer Services,EPO,
EASTERN EUROPEAN PROPERTY FD LD,EEP,LON:EEP,EEP.L,Real Estate Investment & Services,EEP,
EASYHOTEL PLC,EZH,LON:EZH,EZH.L,Travel & Leisure,EZH,
EBIQUITY PLC,EBQ,LON:EBQ,EBQ.L,Media,EBQ,
ECHO ENERGY PLC,ECHO,LON:ECHO,ECHO.L,Oil & Gas Producers,ECHO,
ECKOH PLC,ECK,LON:ECK,ECK.L,Software & Computer Services,ECK,
ECO ANIMAL HEALTH GROUP PLC,EAH,LON:EAH,EAH.L,Pharmaceuticals & Biotechnology,EAH,
ECO (ATLANTIC) OIL & GAS LTD,ECO,LON:ECO,ECO.L,Oil & Gas Producers,ECO,
ECR MINERALS PLC,ECR,LON:ECR,ECR.L,Mining,ECR,
ECSC GROUP PLC,ECSC,LON:ECSC,ECSC.L,Software & Computer Services,ECSC,
EDDIE STOBART LOGISTICS PLC,ESL,LON:ESL,ESL.L,Support Services,ESL,
EDEN RESEARCH PLC,EDEN,LON:EDEN,EDEN.L,Pharmaceuticals & Biotechnology,EDEN,
EDENVILLE ENERGY PLC,EDL,LON:EDL,EDL.L,Mining,EDL,
EGDON RESOURCES PLC,EDR,LON:EDR,EDR.L,Oil & Gas Producers,EDR,
EG SOLUTIONS PLC,EGS,LON:EGS,EGS.L,Software & Computer Services,EGS,
EKF DIAGNOSTICS HOLDINGS PLC,EKF,LON:EKF,EKF.L,Health Care Equipment & Services,EKF,
ELAND OIL & GAS PLC,ELA,LON:ELA,ELA.L,Oil & Gas Producers,ELA,
ELECOSOFT PLC,ELCO,LON:ELCO,ELCO.L,Software & Computer Services,ELCO,
ELECTRIC WORD PLC,ELE,LON:ELE,ELE.L,Media,ELE,
ELEGANT HOTELS GROUP PLC,EHG,LON:EHG,EHG.L,Travel & Leisure,EHG,
ELEKTRON TECHNOLOGY PLC,EKT,LON:EKT,EKT.L,Electronic & Electrical Equipment,EKT,
EMIS GROUP PLC,EMIS,LON:EMIS,EMIS.L,Software & Computer Services,EMIS,
EMPRESARIA GROUP PLC,EMR,LON:EMR,EMR.L,Support Services,EMR,
EMPYREAN ENERGY PLC,EME,LON:EME,EME.L,Oil & Gas Producers,EME,
ENERGISER INVESTMENTS PLC,ENGI,LON:ENGI,ENGI.L,Equity Investment Instruments,ENGI,
ENTEQ UPSTREAM PLC,NTQ,LON:NTQ,NTQ.L,Oil Equipment & Services,NTQ,
ENTU (UK) PLC,ENTU,LON:ENTU,ENTU.L,General Retailers,ENTU,
EPE SPECIAL OPPORTUNITIES PLC,ESO,LON:ESO,ESO.L,Equity Investment Instruments,ESO,
EPWIN GROUP PLC,EPWN,LON:EPWN,EPWN.L,Construction & Materials,EPWN,
EQTEC PLC,EQT,LON:EQT,EQT.L,Electricity,EQT,
EQUATORIAL PALM OIL PLC,PAL,LON:PAL,PAL.L,Food Producers,PAL,
ERGOMED PLC,ERGO,LON:ERGO,ERGO.L,Pharmaceuticals & Biotechnology,ERGO,
ESCHER GROUP HOLDINGS PLC,ESCH,LON:ESCH,ESCH.L,Software & Computer Services,ESCH,
ESERVGLOBAL LD,ESG,LON:ESG,ESG.L,Software & Computer Services,ESG,
E-THERAPEUTICS PLC,ETX,LON:ETX,ETX.L,Pharmaceuticals & Biotechnology,ETX,
EURASIA MINING PLC,EUA,LON:EUA,EUA.L,Mining,EUA,
EUROPA OIL & GAS (HOLDINGS) PLC,EOG,LON:EOG,EOG.L,Oil & Gas Producers,EOG,
EUROPEAN METALS HOLDINGS LIMITED,EMH,LON:EMH,EMH.L,Industrial Metals,EMH,
EUROPEAN WEALTH GROUP LIMITED,EWG,LON:EWG,EWG.L,General Financial,EWG,
EU SUPPLY PLC,EUSP,LON:EUSP,EUSP.L,Software & Computer Services,EUSP,
EVERYMAN MEDIA GROUP PLC,EMAN,LON:EMAN,EMAN.L,Travel & Leisure,EMAN,
EVGEN PHARMA PLC,EVG,LON:EVG,EVG.L,Pharmaceuticals & Biotechnology,EVG,
EVR HOLDINGS PLC,EVRH,LON:EVRH,EVRH.L,Mobile Telecommunications,EVRH,
